dAnkLX	dAnkLY	dAnkLZ	dAnkRX	dAnkRY	dAnkRZ
0.000000	0.000000	0.050000	0.000000	0.000000	0.050000
0.000000	-0.000000	0.050007	-0.000000	0.000000	0.050025
0.000002	-0.000002	0.050056	-0.000002	0.000002	0.050196
0.000005	-0.000005	0.050181	-0.000005	0.000005	0.050634
0.000012	-0.000012	0.050411	-0.000012	0.000012	0.051439
0.000023	-0.000023	0.050769	-0.000023	0.000023	0.052690
0.000039	-0.000039	0.051270	-0.000039	0.000039	0.054446
0.000062	-0.000062	0.051928	-0.000062	0.000062	0.056747
0.000091	-0.000091	0.052747	-0.000091	0.000091	0.059614
0.000127	-0.000127	0.053730	-0.000127	0.000127	0.063055
0.000171	-0.000171	0.054875	-0.000171	0.000171	0.067062
0.000224	-0.000224	0.056175	-0.000224	0.000224	0.071612
0.000286	-0.000286	0.057621	-0.000286	0.000286	0.076674
0.000358	-0.000358	0.059201	-0.000358	0.000358	0.082202
0.000440	-0.000440	0.060899	-0.000440	0.000440	0.088145
0.000532	-0.000532	0.062698	-0.000532	0.000532	0.094442
0.000635	-0.000635	0.064578	-0.000635	0.000635	0.101024
0.000749	-0.000749	0.066520	-0.000749	0.000749	0.107821
0.000874	-0.000874	0.068502	-0.000874	0.000874	0.114756
0.001011	-0.001011	0.070500	-0.001011	0.001011	0.121750
0.001158	-0.001158	0.072493	-0.001158	0.001158	0.128724
0.001318	-0.001318	0.074457	-0.001318	0.001318	0.135599
0.001489	-0.001489	0.076371	-0.001489	0.001489	0.142298
0.001671	-0.001671	0.078213	-0.001671	0.001671	0.148747
0.001865	-0.001865	0.079964	-0.001865	0.001865	0.154874
0.002070	-0.002070	0.081605	-0.002070	0.002070	0.160617
0.002287	-0.002287	0.083120	-0.002287	0.002287	0.165918
0.002514	-0.002514	0.084494	-0.002514	0.002514	0.170729
0.002753	-0.002753	0.085718	-0.002753	0.002753	0.175011
0.003002	-0.003002	0.086782	-0.003002	0.003002	0.178737
0.003262	-0.003262	0.087683	-0.003262	0.003262	0.181891
0.003531	-0.003531	0.088421	-0.003531	0.003531	0.184473
0.003811	-0.003811	0.088999	-0.003811	0.003811	0.186498
0.004099	-0.004099	0.089427	-0.004099	0.004099	0.187995
0.004397	-0.004397	0.089719	-0.004397	0.004397	0.189015
0.004703	-0.004703	0.089893	-0.004703	0.004703	0.189626
0.005018	-0.005018	0.089976	-0.005018	0.005018	0.189916
0.005340	-0.005340	0.090001	-0.005340	0.005340	0.190001
0.005670	-0.005670	0.089999	-0.005670	0.005670	0.189999
0.006006	-0.006006	0.089977	-0.006006	0.006006	0.189977
0.006349	-0.006349	0.089897	-0.006349	0.006349	0.189897
0.006697	-0.006697	0.089729	-0.006697	0.006697	0.189729
0.007051	-0.007051	0.089449	-0.007051	0.007051	0.189449
0.007409	-0.007409	0.089037	-0.007409	0.007409	0.189037
0.007772	-0.007772	0.088480	-0.007772	0.007772	0.188480
0.008137	-0.008137	0.087770	-0.008137	0.008137	0.187770
0.008506	-0.008506	0.086903	-0.008506	0.008506	0.186903
0.008878	-0.008878	0.085878	-0.008878	0.008878	0.185878
0.009251	-0.009251	0.084701	-0.009251	0.009251	0.184701
0.009625	-0.009625	0.083378	-0.009625	0.009625	0.183378
0.010000	-0.010000	0.081920	-0.010000	0.010000	0.181920
0.010375	-0.010375	0.080340	-0.010375	0.010375	0.180340
0.010749	-0.010749	0.078655	-0.010749	0.010749	0.178655
0.011122	-0.011122	0.076882	-0.011122	0.011122	0.176882
0.011494	-0.011494	0.075040	-0.011494	0.011494	0.175040
0.011863	-0.011863	0.073149	-0.011863	0.011863	0.173149
0.012228	-0.012228	0.071231	-0.012228	0.012228	0.171231
0.012591	-0.012591	0.069308	-0.012591	0.012591	0.169308
0.012949	-0.012949	0.067401	-0.012949	0.012949	0.167401
0.013303	-0.013303	0.065532	-0.013303	0.013303	0.165532
0.013651	-0.013651	0.063721	-0.013651	0.013651	0.163721
0.013994	-0.013994	0.061990	-0.013994	0.013994	0.161990
0.014330	-0.014330	0.060356	-0.014330	0.014330	0.160356
0.014660	-0.014660	0.058835	-0.014660	0.014660	0.158835
0.014982	-0.014982	0.057443	-0.014982	0.014982	0.157443
0.015297	-0.015297	0.056192	-0.015297	0.015297	0.156192
0.015603	-0.015603	0.055090	-0.015603	0.015603	0.155090
0.015901	-0.015901	0.054144	-0.015901	0.015901	0.154144
0.016189	-0.016189	0.053355	-0.016189	0.016189	0.153355
0.016469	-0.016469	0.052723	-0.016469	0.016469	0.152723
0.016738	-0.016738	0.052240	-0.016738	0.016738	0.152240
0.016998	-0.016998	0.051896	-0.016998	0.016998	0.151896
0.017247	-0.017247	0.051674	-0.017247	0.017247	0.151674
0.017486	-0.017486	0.051554	-0.017486	0.017486	0.151554
0.017713	-0.017713	0.051507	-0.017713	0.017713	0.151507
0.017930	-0.017930	0.051500	-0.017930	0.017930	0.151500
0.018135	-0.018135	0.051499	-0.018135	0.018135	0.151499
0.018329	-0.018329	0.051493	-0.018329	0.018329	0.151493
0.018511	-0.018511	0.051479	-0.018511	0.018511	0.151479
0.018682	-0.018682	0.051452	-0.018682	0.018682	0.151452
0.018842	-0.018842	0.051413	-0.018842	0.018842	0.151413
0.018989	-0.018989	0.051360	-0.018989	0.018989	0.151360
0.019126	-0.019126	0.051294	-0.019126	0.019126	0.151294
0.019251	-0.019251	0.051214	-0.019251	0.019251	0.151214
0.019365	-0.019365	0.051124	-0.019365	0.019365	0.151124
0.019468	-0.019468	0.051024	-0.019468	0.019468	0.151024
0.019560	-0.019560	0.050917	-0.019560	0.019560	0.150917
0.019642	-0.019642	0.050806	-0.019642	0.019642	0.150806
0.019714	-0.019714	0.050694	-0.019714	0.019714	0.150694
0.019776	-0.019776	0.050583	-0.019776	0.019776	0.150583
0.019829	-0.019829	0.050476	-0.019829	0.019829	0.150476
0.019873	-0.019873	0.050376	-0.019873	0.019873	0.150376
0.019909	-0.019909	0.050286	-0.019909	0.019909	0.150286
0.019938	-0.019938	0.050206	-0.019938	0.019938	0.150206
0.019961	-0.019961	0.050140	-0.019961	0.019961	0.150140
0.019977	-0.019977	0.050087	-0.019977	0.019977	0.150087
0.019988	-0.019988	0.050048	-0.019988	0.019988	0.150048
0.019995	-0.019995	0.050021	-0.019995	0.019995	0.150021
0.019998	-0.019998	0.050007	-0.019998	0.019998	0.150007
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
0.020000	-0.020000	0.050001	-0.020000	0.020000	0.150001
